product_id,product_url,title,size,thickness_mm,color,texture_or_material,finish,image_urls_json,image_count,single_tile_image_url,site
mytyles_imported-green-geometric-floor-and-wall-tile-,https://mytyles.com/product/imported-green-geometric-floor-and-wall-tile-code11295-600x600mm-matt,Buy 2x2 ft Imported Geometric Floor Tile Code11295 Online | MYTYLES,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/8dddc6f-ff7e-420f-8afa-55fbd4fac1/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/8dddc6f-ff7e-420f-8afa-55fbd4fac1/1200x1200.webp,mytyles
mytyles_imported-gray-geometric-floor-and-wall-tile-c,https://mytyles.com/product/imported-gray-geometric-floor-and-wall-tile-code11293-600x600mm-matt,Buy 2x2 ft Imported Geometric Floor Tile Code11293 Online | MYTYLES,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/266dddb-748e-8518-8a8-60753f7b8577/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/266dddb-748e-8518-8a8-60753f7b8577/1200x1200.webp,mytyles
mytyles_imported-black-textured-wall-tile-code28728-6,https://mytyles.com/product/imported-black-textured-wall-tile-code28728-600x1200mm-matt,Buy 2x4 ft Black Textured Wall Tile code28728 Online |,300x450 mm,,black,ceramic,textured,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/63f8f7f-e2a2-1fca-033-0623353d571/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/63f8f7f-e2a2-1fca-033-0623353d571/1200x1200.webp,mytyles
mytyles_imported-porcelain-tile-code21480-200x200mm-m,https://mytyles.com/product/imported-porcelain-tile-code21480-200x200mm-matt,Buy 8x8 Inch Imported Wall Tile Online |,8x8 in,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/7d5b41-fb6f-f5f-f1-0ca655b7fc27/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/7d5b41-fb6f-f5f-f1-0ca655b7fc27/1200x1200.webp,mytyles
mytyles_porcelain-black-floor-and-wall-tile-code23322,https://mytyles.com/product/porcelain-black-floor-and-wall-tile-code23322-600x600mm-carving-matt,Buy 2x2 ft Porcelain Floor and Wall Tile Code23322 Online | Mytyles,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/043b81-fc8-1528-31cd-60532cffcfd5/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/043b81-fc8-1528-31cd-60532cffcfd5/1200x1200.webp,mytyles
mytyles_imported-moroccan-tile-code9571-450x450mm-mat,https://mytyles.com/product/imported-moroccan-tile-code9571-450x450mm-matt,Buy 18x18 Inch Moroccan Floor & Wall Tile Code9571 Online |,18x18 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/0154eba-3478-756-d7-1bbd858c2b/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/0154eba-3478-756-d7-1bbd858c2b/1200x1200.webp,mytyles
mytyles_porcelain-ivory-floor-and-wall-tile-code27689,https://mytyles.com/product/porcelain-ivory-floor-and-wall-tile-code27689-600x600mm-matt,Buy 2x2 ft Porcelain Floor & Wall Tile code27689 Online |,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/cbd6b5-eab3-1f2-400f-adccd05a0df/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/cbd6b5-eab3-1f2-400f-adccd05a0df/1200x1200.webp,mytyles
mytyles_imported-grey-textured-wall-tile-code28733-60,https://mytyles.com/product/imported-grey-textured-wall-tile-code28733-600x1200mm-matt,Buy 2x4 ft Grey Textured Wall Tile code28733 Online |,300x450 mm,,grey,ceramic,textured,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/7c48b21-fa88-be72-8ba2-f3122107d67a/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/7c48b21-fa88-be72-8ba2-f3122107d67a/1200x1200.webp,mytyles
mytyles_imported-porcelain-tile-code19998-200x200mm-g,https://mytyles.com/product/imported-porcelain-tile-code19998-200x200mm-glossy-tropical,Buy 8x8 Inch Tropical Floor & Wall Tile Online |,8x8 in,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/e2d8a6c-2504-e105-66c3-8b602e85ad6/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/e2d8a6c-2504-e105-66c3-8b602e85ad6/1200x1200.webp,mytyles
mytyles_porcelain-floor-and-wall-tile-code11524-600x6,https://mytyles.com/product/porcelain-floor-and-wall-tile-code11524-600x6000mm-rustic-matt,Buy Nitco Cotto Rouge Floor & Wall Tile Online |,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/4373d8-eb1f-6567-6bd2-78773e28ed7/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/4373d8-eb1f-6567-6bd2-78773e28ed7/1200x1200.webp,mytyles
